app,bug_name,bug_path,clean_suite_valid,bug_activated,buggy_suite_passed,candidate_failure_count,behavior_aligned_failure_count,verdict,review_required,alignment_confidence,detecting_test_file,detecting_test_name,failure_message,nl_expectation,notes
prestashop,buyer_add_product_to_cart,/Users/stephenhe/Projects/WebTestPilot/WebTestPilot/benchmark/prestashop/bugs/buyer_add_product_to_cart.js,True,True,False,3,3,caught,True,low,cart-checkout.spec.ts,Cart page shows added product with correct name,"Error: [2mexpect([22m[31mlocator[39m[2m).[22mtoBeVisible[2m([22m[2m)[22m failed ⏎  ⏎ Locator: getByText(/Hummingbird printed t-shirt/i).first() ⏎ Expected: visible ⏎ Timeout: 5000ms ⏎ Error: element(s) not found ⏎  ⏎ Call log: ⏎ [2m  - Expect ""toBeVisible"" with timeout 5000ms[22m ⏎ [2m  - waiting for getByText(/Hummingbird printed t-shirt/i).first()[22m ⏎ ","After adding a product, the shopping cart contains all previous items plus exactly one additional item",failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Catalog – Discounts (Cart Rules) page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Customer Service page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Shipping – Carriers page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Stats page loads
prestashop,buyer_add_product_to_wishlist,/Users/stephenhe/Projects/WebTestPilot/WebTestPilot/benchmark/prestashop/bugs/buyer_add_product_to_wishlist.js,True,False,False,0,0,not_activated,False,,,,,The grid of wishlisted products should be equal to initial list plus the new wishlisted product,failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Catalog – Discounts (Cart Rules) page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Customer Service page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Shipping – Carriers page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Stats page loads | fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
prestashop,buyer_contact_us,/Users/stephenhe/Projects/WebTestPilot/WebTestPilot/benchmark/prestashop/bugs/buyer_contact_us.js,True,True,False,0,0,oracle_miss,False,,,,,A success message is shown,failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Catalog – Discounts (Cart Rules) page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Customer Service page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Shipping – Carriers page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Stats page loads | fault activated but no clean-stable generated test failed: the suite exercised the buggy behaviour and accepted it
prestashop,buyer_edit_quantity_in_cart,/Users/stephenhe/Projects/WebTestPilot/WebTestPilot/benchmark/prestashop/bugs/buyer_edit_quantity_in_cart.js,True,False,False,0,0,not_activated,False,,,,,The shopping cart before and after editing quantity is consistent,failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Catalog – Discounts (Cart Rules) page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Customer Service page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Shipping – Carriers page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Stats page loads | fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
prestashop,buyer_remove_product_from_cart,/Users/stephenhe/Projects/WebTestPilot/WebTestPilot/benchmark/prestashop/bugs/buyer_remove_product_from_cart.js,True,False,False,0,0,not_activated,False,,,,,The list of cart products should be equal to initial list minus the deleted product,failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Catalog – Discounts (Cart Rules) page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Customer Service page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Shipping – Carriers page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Stats page loads | fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
prestashop,buyer_remove_product_from_wishlist,/Users/stephenhe/Projects/WebTestPilot/WebTestPilot/benchmark/prestashop/bugs/buyer_remove_product_from_wishlist.js,True,False,False,0,0,not_activated,False,,,,,The grid of wishlisted products should be equal to initial list minus the deleted product,failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Catalog – Discounts (Cart Rules) page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Customer Service page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Shipping – Carriers page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Stats page loads | fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
prestashop,buyer_search_product,/Users/stephenhe/Projects/WebTestPilot/WebTestPilot/benchmark/prestashop/bugs/buyer_search_product.js,True,True,False,0,0,oracle_miss,False,,,,,Search results contains search query as substring (case-insensitive),failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Catalog – Discounts (Cart Rules) page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Customer Service page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Shipping – Carriers page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Stats page loads | fault activated but no clean-stable generated test failed: the suite exercised the buggy behaviour and accepted it
prestashop,buyer_sort_products_by_name_a_to_z,/Users/stephenhe/Projects/WebTestPilot/WebTestPilot/benchmark/prestashop/bugs/buyer_sort_products_by_name_a_to_z.js,True,False,False,0,0,not_activated,False,,,,,"The products are correctly sorted by 'Name, A to Z', and must be extracted using a left-to-right zig-zag grid traversal (no need to get image)",failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Catalog – Discounts (Cart Rules) page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Customer Service page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Shipping – Carriers page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Stats page loads | fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
prestashop,buyer_sort_products_by_name_z_to_a,/Users/stephenhe/Projects/WebTestPilot/WebTestPilot/benchmark/prestashop/bugs/buyer_sort_products_by_name_z_to_a.js,True,False,False,0,0,not_activated,False,,,,,"The products are correctly sorted by 'Name, Z to A', and must be extracted using a left-to-right zig-zag grid traversal (no need to get image)",failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Catalog – Discounts (Cart Rules) page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Customer Service page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Shipping – Carriers page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Stats page loads | fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
prestashop,buyer_sort_products_by_price_high_to_low,/Users/stephenhe/Projects/WebTestPilot/WebTestPilot/benchmark/prestashop/bugs/buyer_sort_products_by_price_high_to_low.js,True,False,False,0,0,not_activated,False,,,,,"The products are correctly sorted by 'Price, high to low', and must be extracted using a left-to-right zig-zag grid traversal (no need to get image)",failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Catalog – Discounts (Cart Rules) page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Customer Service page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Shipping – Carriers page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Stats page loads | fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
