bug_name,verdict,activated,candidate_failures,aligned_failures,detecting_test,notes
approve_quote,not_activated,False,0,0,,"failure in non-clean-stable test excluded (failing): auth.spec.ts::correct credentials redirect to invoices | failure in non-clean-stable test excluded (failing): client-portal.spec.ts::invoice list has filter buttons — Paid, Unpaid, Past Due | failure in non-clean-stable test excluded (failing): client-portal.spec.ts::invoice list renders with seeded invoices | failure in non-clean-stable test excluded (failing): client-portal.spec.ts::invoice list shows Overdue status for past-due invoice | fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)"
convert_quote_to_invoice,not_activated,False,0,0,,"failure in non-clean-stable test excluded (failing): auth.spec.ts::correct credentials redirect to invoices | failure in non-clean-stable test excluded (failing): client-portal.spec.ts::invoice list has filter buttons — Paid, Unpaid, Past Due | failure in non-clean-stable test excluded (failing): client-portal.spec.ts::invoice list renders with seeded invoices | failure in non-clean-stable test excluded (failing): client-portal.spec.ts::invoice list shows Overdue status for past-due invoice | fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)"
create_invoice,not_activated,False,0,0,,"failure in non-clean-stable test excluded (failing): auth.spec.ts::correct credentials redirect to invoices | failure in non-clean-stable test excluded (failing): client-portal.spec.ts::invoice list has filter buttons — Paid, Unpaid, Past Due | failure in non-clean-stable test excluded (failing): client-portal.spec.ts::invoice list renders with seeded invoices | failure in non-clean-stable test excluded (failing): client-portal.spec.ts::invoice list shows Overdue status for past-due invoice | fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)"
create_product,not_activated,False,0,0,,"failure in non-clean-stable test excluded (failing): auth.spec.ts::correct credentials redirect to invoices | failure in non-clean-stable test excluded (failing): client-portal.spec.ts::invoice list has filter buttons — Paid, Unpaid, Past Due | failure in non-clean-stable test excluded (failing): client-portal.spec.ts::invoice list renders with seeded invoices | failure in non-clean-stable test excluded (failing): client-portal.spec.ts::invoice list shows Overdue status for past-due invoice | fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)"
delete_expired_quote,not_activated,False,0,0,,"failure in non-clean-stable test excluded (failing): auth.spec.ts::correct credentials redirect to invoices | failure in non-clean-stable test excluded (failing): client-portal.spec.ts::invoice list has filter buttons — Paid, Unpaid, Past Due | failure in non-clean-stable test excluded (failing): client-portal.spec.ts::invoice list renders with seeded invoices | failure in non-clean-stable test excluded (failing): client-portal.spec.ts::invoice list shows Overdue status for past-due invoice | fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)"
delete_payment,not_activated,False,0,0,,"failure in non-clean-stable test excluded (failing): auth.spec.ts::correct credentials redirect to invoices | failure in non-clean-stable test excluded (failing): client-portal.spec.ts::invoice list has filter buttons — Paid, Unpaid, Past Due | failure in non-clean-stable test excluded (failing): client-portal.spec.ts::invoice list renders with seeded invoices | failure in non-clean-stable test excluded (failing): client-portal.spec.ts::invoice list shows Overdue status for past-due invoice | fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)"
disable_invoices_module,not_activated,False,0,0,,"failure in non-clean-stable test excluded (failing): auth.spec.ts::correct credentials redirect to invoices | failure in non-clean-stable test excluded (failing): client-portal.spec.ts::invoice list has filter buttons — Paid, Unpaid, Past Due | failure in non-clean-stable test excluded (failing): client-portal.spec.ts::invoice list renders with seeded invoices | failure in non-clean-stable test excluded (failing): client-portal.spec.ts::invoice list shows Overdue status for past-due invoice | fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)"
disable_quotes_module,not_activated,False,0,0,,"failure in non-clean-stable test excluded (failing): auth.spec.ts::correct credentials redirect to invoices | failure in non-clean-stable test excluded (failing): client-portal.spec.ts::invoice list has filter buttons — Paid, Unpaid, Past Due | failure in non-clean-stable test excluded (failing): client-portal.spec.ts::invoice list renders with seeded invoices | failure in non-clean-stable test excluded (failing): client-portal.spec.ts::invoice list shows Overdue status for past-due invoice | fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)"
enter_payment,not_activated,False,0,0,,"failure in non-clean-stable test excluded (failing): auth.spec.ts::correct credentials redirect to invoices | failure in non-clean-stable test excluded (failing): client-portal.spec.ts::invoice list has filter buttons — Paid, Unpaid, Past Due | failure in non-clean-stable test excluded (failing): client-portal.spec.ts::invoice list renders with seeded invoices | failure in non-clean-stable test excluded (failing): client-portal.spec.ts::invoice list shows Overdue status for past-due invoice | fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)"
expired_quotes,not_activated,False,0,0,,"failure in non-clean-stable test excluded (failing): auth.spec.ts::correct credentials redirect to invoices | failure in non-clean-stable test excluded (failing): client-portal.spec.ts::invoice list has filter buttons — Paid, Unpaid, Past Due | failure in non-clean-stable test excluded (failing): client-portal.spec.ts::invoice list renders with seeded invoices | failure in non-clean-stable test excluded (failing): client-portal.spec.ts::invoice list shows Overdue status for past-due invoice | fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)"
